datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-01-24 00:07:30,1, 0.000000E+00, 2.750460E+02, 0.000000E+00, 2.577814E+02, 2.880933E+02, 2.867042E+02, 2.876170E+02
2024-01-24 00:22:30,1, 0.000000E+00, 2.732285E+02, 0.000000E+00, 3.908515E+01, 2.880115E+02, 2.743292E+02, 2.748246E+02
2024-01-24 00:37:30,1, 0.000000E+00, 2.742182E+02, 0.000000E+00, 2.110140E+00, 2.878117E+02, 2.743533E+02, 2.735767E+02
2024-01-24 00:52:30,1, 0.000000E+00, 2.737559E+02, 0.000000E+00, 7.815397E+00, 2.876099E+02, 2.752577E+02, 2.745363E+02
2024-01-24 01:07:30,1, 0.000000E+00, 2.736889E+02, 0.000000E+00, 3.351712E+00, 2.875012E+02, 2.745618E+02, 2.740042E+02
2024-01-24 01:22:30,1, 0.000000E+00, 2.736149E+02, 0.000000E+00, 2.966876E+00, 2.874166E+02, 2.745362E+02, 2.739493E+02
2024-01-24 01:37:30,1, 0.000000E+00, 2.735048E+02, 0.000000E+00, 2.816214E+00, 2.873554E+02, 2.743883E+02, 2.738528E+02
2024-01-24 01:52:30,1, 0.000000E+00, 2.734059E+02, 0.000000E+00, 2.711908E+00, 2.873060E+02, 2.742299E+02, 2.737278E+02
2024-01-24 02:07:30,1, 0.000000E+00, 2.734748E+02, 0.000000E+00, 1.977131E+00, 2.872503E+02, 2.741626E+02, 2.736385E+02
2024-01-24 02:22:30,1, 0.000000E+00, 2.736898E+02, 0.000000E+00, 1.260719E+00, 2.871749E+02, 2.743256E+02, 2.737360E+02
2024-01-24 02:37:30,1, 0.000000E+00, 2.738353E+02, 0.000000E+00, 1.169559E+00, 2.870929E+02, 2.745820E+02, 2.739630E+02
2024-01-24 02:52:30,1, 0.000000E+00, 2.739966E+02, 0.000000E+00, 1.096995E+00, 2.870206E+02, 2.747542E+02, 2.741165E+02
2024-01-24 03:07:30,1, 0.000000E+00, 2.741321E+02, 0.000000E+00, 1.457675E+00, 2.869462E+02, 2.749206E+02, 2.742791E+02
2024-01-24 03:22:30,1, 0.000000E+00, 2.742497E+02, 0.000000E+00, 1.940411E+00, 2.868627E+02, 2.750273E+02, 2.744057E+02
2024-01-24 03:37:30,1, 0.000000E+00, 2.743755E+02, 0.000000E+00, 2.106313E+00, 2.867786E+02, 2.751276E+02, 2.745179E+02
2024-01-24 03:52:30,1, 0.000000E+00, 2.744996E+02, 0.000000E+00, 2.188329E+00, 2.866984E+02, 2.752377E+02, 2.746389E+02
2024-01-24 04:07:30,1, 0.000000E+00, 2.746229E+02, 0.000000E+00, 2.562134E+00, 2.866181E+02, 2.753422E+02, 2.747569E+02
2024-01-24 04:22:30,1, 0.000000E+00, 2.747460E+02, 0.000000E+00, 3.038949E+00, 2.865341E+02, 2.754447E+02, 2.748737E+02
2024-01-24 04:37:30,1, 0.000000E+00, 2.748693E+02, 0.000000E+00, 3.225758E+00, 2.864517E+02, 2.755482E+02, 2.749908E+02
2024-01-24 04:52:30,1, 0.000000E+00, 2.749925E+02, 0.000000E+00, 3.317295E+00, 2.863735E+02, 2.756525E+02, 2.751084E+02
2024-01-24 05:07:30,1, 0.000000E+00, 2.750984E+02, 0.000000E+00, 3.523200E+00, 2.862969E+02, 2.757593E+02, 2.752267E+02
2024-01-24 05:22:30,1, 0.000000E+00, 2.751901E+02, 0.000000E+00, 3.742525E+00, 2.862202E+02, 2.758509E+02, 2.753285E+02
2024-01-24 05:37:30,1, 0.000000E+00, 2.752852E+02, 0.000000E+00, 3.823522E+00, 2.861469E+02, 2.759315E+02, 2.754172E+02
2024-01-24 05:52:30,1, 0.000000E+00, 2.753807E+02, 0.000000E+00, 3.885004E+00, 2.860781E+02, 2.760177E+02, 2.755099E+02
2024-01-24 06:07:30,1, 0.000000E+00, 2.754348E+02, 0.000000E+00, 3.430417E+00, 2.860024E+02, 2.761018E+02, 2.756022E+02
2024-01-24 06:22:30,1, 0.000000E+00, 2.754530E+02, 0.000000E+00, 2.730166E+00, 2.859117E+02, 2.761437E+02, 2.756529E+02
2024-01-24 06:37:30,1, 0.000000E+00, 2.754766E+02, 0.000000E+00, 2.476544E+00, 2.858168E+02, 2.761567E+02, 2.756698E+02
2024-01-24 06:52:30,1, 0.000000E+00, 2.755010E+02, 0.000000E+00, 2.398292E+00, 2.857223E+02, 2.761796E+02, 2.756933E+02
2024-01-24 07:07:30,1, 0.000000E+00, 2.755308E+02, 0.000000E+00, 2.872220E+00, 2.856415E+02, 2.762004E+02, 2.757168E+02
2024-01-24 07:22:30,1, 0.000000E+00, 2.755671E+02, 0.000000E+00, 3.528920E+00, 2.855863E+02, 2.762266E+02, 2.757456E+02
2024-01-24 07:37:30,1, 0.000000E+00, 2.756044E+02, 0.000000E+00, 3.758428E+00, 2.855469E+02, 2.762603E+02, 2.757815E+02
2024-01-24 07:52:30,1, 0.000000E+00, 2.756421E+02, 0.000000E+00, 3.852806E+00, 2.855174E+02, 2.762949E+02, 2.758182E+02
2024-01-24 08:07:30,1, 0.000000E+00, 2.756626E+02, 0.000000E+00, 3.415128E+00, 2.855104E+02, 2.763293E+02, 2.758552E+02
2024-01-24 08:22:30,1, 0.000000E+00, 2.756683E+02, 0.000000E+00, 2.779992E+00, 2.855385E+02, 2.763475E+02, 2.758753E+02
2024-01-24 08:37:30,1, 0.000000E+00, 2.756783E+02, 0.000000E+00, 2.576636E+00, 2.855858E+02, 2.763573E+02, 2.758825E+02
2024-01-24 08:52:30,1, 0.000000E+00, 2.756892E+02, 0.000000E+00, 2.528708E+00, 2.856420E+02, 2.763745E+02, 2.758948E+02
2024-01-24 09:07:30,1, 0.000000E+00, 2.756891E+02, 0.000000E+00, 2.205825E+00, 2.857134E+02, 2.763918E+02, 2.759078E+02
2024-01-24 09:22:30,1, 0.000000E+00, 2.756800E+02, 0.000000E+00, 1.784268E+00, 2.858032E+02, 2.763995E+02, 2.759102E+02
2024-01-24 09:37:30,1, 0.000000E+00, 2.756732E+02, 0.000000E+00, 1.652819E+00, 2.859002E+02, 2.764020E+02, 2.759048E+02
2024-01-24 09:52:30,1, 0.000000E+00, 2.756666E+02, 0.000000E+00, 1.621599E+00, 2.859976E+02, 2.764087E+02, 2.759022E+02
2024-01-24 10:07:30,1, 0.000000E+00, 2.756548E+02, 0.000000E+00, 1.516230E+00, 2.860518E+02, 2.764138E+02, 2.758993E+02
2024-01-24 10:22:30,1, 0.000000E+00, 2.756363E+02, 0.000000E+00, 1.351150E+00, 2.860498E+02, 2.764088E+02, 2.758895E+02
2024-01-24 10:37:30,1, 0.000000E+00, 2.756162E+02, 0.000000E+00, 1.266314E+00, 2.860199E+02, 2.763942E+02, 2.758722E+02
2024-01-24 10:52:30,1, 0.000000E+00, 2.755954E+02, 0.000000E+00, 1.208279E+00, 2.859776E+02, 2.763774E+02, 2.758531E+02
2024-01-24 11:07:30,1, 0.000000E+00, 2.755640E+02, 0.000000E+00, 1.276613E+00, 2.859428E+02, 2.763511E+02, 2.758305E+02
2024-01-24 11:22:30,1, 0.000000E+00, 2.755252E+02, 0.000000E+00, 1.387892E+00, 2.859250E+02, 2.763088E+02, 2.757956E+02
2024-01-24 11:37:30,1, 0.000000E+00, 2.754896E+02, 0.000000E+00, 1.396910E+00, 2.859162E+02, 2.762634E+02, 2.757547E+02
2024-01-24 11:52:30,1, 0.000000E+00, 2.754542E+02, 0.000000E+00, 1.380467E+00, 2.859116E+02, 2.762224E+02, 2.757173E+02
2024-01-24 12:07:30,1, 0.000000E+00, 2.754532E+02, 0.000000E+00, 1.333161E+00, 2.859036E+02, 2.761961E+02, 2.756847E+02
